          Evm          Svm          E11          E22          E33          E23          E13          E12        SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12  TEMP          EE11         EE22         EE33         EE23         EE13         EE12         EP11         EP22         EP33         EP23         EP13         EP12        ETR11        ETR22        ETR33        ETR23        ETR13        ETR12           L11          L12          L13          L21          L22          L23          L31          L32          L33        tincr        press          <p>
  0.00000E+00  0.85189E+02  0.40000E-03 -0.20000E-03 -0.20000E-03  0.00000E+00  0.00000E+00  0.00000E+00   0.85189E+02  0.17408E-12  0.78160E-13  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.40000E-03 -0.12354E-03 -0.10636E-03 -0.21674E-12  0.21751E-12  0.11148E-19 -0.24185E-19  0.64805E-20  0.17705E-19  0.28560E-28  0.00000E+00 -0.34046E-35  0.40155E-03 -0.98473E-04 -0.88836E-04 -0.49964E-11  0.91096E-11 -0.48239E-18   0.10000E-02  0.27868E-19  0.54376E-12  0.00000E+00 -0.30884E-03 -0.54202E-12  0.00000E+00  0.00000E+00 -0.26589E-03  0.20000E+00  0.28396E+02  0.28396E+02
  0.17165E-03  0.12707E+03  0.60000E-03 -0.26177E-03 -0.25318E-03 -0.10840E-12  0.10875E-12  0.55736E-20   0.12707E+03  0.41211E-12  0.18474E-12  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.60000E-03 -0.18530E-03 -0.15954E-03 -0.32511E-12  0.32626E-12  0.16722E-19  0.14098E-08 -0.77606E-09 -0.63375E-09 -0.34600E-16 -0.10794E-17 -0.54235E-24  0.40155E-03 -0.98473E-04 -0.88836E-04 -0.49964E-11  0.91096E-11 -0.48246E-18   0.10000E-02 -0.14547E-12  0.26577E-12  0.00000E+00 -0.31293E-03 -0.78497E-12  0.00000E+00  0.00000E+00 -0.26890E-03  0.20000E+00  0.42358E+02  0.42358E+02
  0.34377E-03  0.15421E+03  0.80000E-03 -0.32435E-03 -0.30696E-03 -0.15699E-12  0.53153E-13 -0.29093E-13   0.15421E+03  0.70344E-12  0.34817E-12  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.79666E-03 -0.24604E-03 -0.21183E-03 -0.32502E-12  0.27143E-12 -0.30443E-13  0.33379E-05 -0.18493E-05 -0.14886E-05 -0.48713E-13 -0.77121E-15  0.13499E-14  0.40026E-03 -0.97809E-04 -0.88214E-04 -0.49631E-11  0.91116E-11 -0.94578E-16   0.10000E-02  0.36041E-13 -0.29513E-12  0.00000E+00 -0.40648E-03 -0.18962E-11  0.00000E+00  0.00000E+00 -0.32261E-03  0.20000E+00  0.51403E+02  0.51402E+02
  0.52571E-03  0.16359E+03  0.10000E-02 -0.40565E-03 -0.37148E-03 -0.48765E-12  0.49725E-13  0.72081E-14   0.16359E+03  0.96634E-12  0.46185E-12  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.92407E-03 -0.28539E-03 -0.24570E-03 -0.32499E-12  0.23585E-12 -0.50165E-13  0.75933E-04 -0.43798E-04 -0.32135E-04 -0.37940E-12  0.31380E-13  0.57373E-13  0.38908E-03 -0.91969E-04 -0.82872E-04 -0.48205E-11  0.91247E-11 -0.32942E-14   0.10000E-02  0.82011E-12  0.61818E-12  0.00000E+00 -0.52726E-03 -0.27924E-11  0.00000E+00  0.00000E+00 -0.37907E-03  0.20000E+00  0.54530E+02  0.54529E+02
  0.71947E-03  0.16623E+03  0.12000E-02 -0.51110E-03 -0.44730E-03 -0.71547E-12  0.17679E-12  0.13493E-12   0.16623E+03  0.13145E-11  0.59686E-12  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.96812E-03 -0.29899E-03 -0.25741E-03 -0.32499E-12  0.22355E-12 -0.56983E-13  0.23188E-03 -0.13565E-03 -0.96237E-04 -0.60723E-12  0.17074E-12  0.19191E-12  0.38400E-03 -0.89407E-04 -0.80355E-04 -0.47749E-11  0.91281E-11 -0.65271E-14   0.10000E-02  0.13994E-11  0.16940E-11  0.00000E+00 -0.57318E-03 -0.16298E-11  0.00000E+00  0.00000E+00 -0.40043E-03  0.20000E+00  0.55410E+02  0.55410E+02
  0.91771E-03  0.16711E+03  0.14000E-02 -0.62574E-03 -0.52738E-03 -0.81362E-12  0.38853E-12  0.28710E-12   0.16711E+03  0.15845E-11  0.73896E-12  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98052E-03 -0.30282E-03 -0.26071E-03 -0.32499E-12  0.22009E-12 -0.58903E-13  0.41948E-03 -0.24645E-03 -0.17302E-03 -0.70537E-12  0.38594E-12  0.34600E-12  0.38425E-03 -0.89763E-04 -0.80240E-04 -0.47639E-11  0.91216E-11 -0.72161E-14   0.10000E-02  0.15200E-11  0.23004E-11  0.00000E+00 -0.58477E-03 -0.67576E-12  0.00000E+00  0.00000E+00 -0.40643E-03  0.20000E+00  0.55704E+02  0.55704E+02
  0.11171E-02  0.16748E+03  0.16000E-02 -0.74269E-03 -0.60867E-03 -0.85063E-12  0.63686E-12  0.43892E-12   0.16748E+03  0.18829E-11  0.88107E-12  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98466E-03 -0.30410E-03 -0.26181E-03 -0.32499E-12  0.21893E-12 -0.59543E-13  0.61534E-03 -0.36213E-03 -0.25321E-03 -0.74238E-12  0.63544E-12  0.49846E-12  0.38666E-03 -0.91323E-04 -0.81096E-04 -0.47625E-11  0.91119E-11 -0.69034E-14   0.10000E-02  0.15022E-11  0.25500E-11  0.00000E+00 -0.58796E-03 -0.24874E-12  0.00000E+00  0.00000E+00 -0.40841E-03  0.20000E+00  0.55825E+02  0.55825E+02
  0.13169E-02  0.16763E+03  0.18000E-02 -0.86029E-03 -0.69035E-03 -0.86336E-12  0.89853E-12  0.58753E-12   0.16763E+03  0.21814E-11  0.10374E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98637E-03 -0.30463E-03 -0.26227E-03 -0.32499E-12  0.21846E-12 -0.59807E-13  0.81363E-03 -0.47919E-03 -0.33444E-03 -0.75512E-12  0.89758E-12  0.64733E-12  0.38983E-03 -0.93286E-04 -0.82299E-04 -0.47634E-11  0.91012E-11 -0.70115E-14   0.10000E-02  0.14716E-11  0.26245E-11  0.00000E+00 -0.58917E-03 -0.78957E-13  0.00000E+00  0.00000E+00 -0.40926E-03  0.20000E+00  0.55878E+02  0.55878E+02
  0.15168E-02  0.16771E+03  0.20000E-02 -0.97812E-03 -0.77220E-03 -0.86642E-12  0.11618E-11  0.73324E-12   0.16771E+03  0.25082E-11  0.11795E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98711E-03 -0.30486E-03 -0.26246E-03 -0.32499E-12  0.21825E-12 -0.59922E-13  0.10129E-02 -0.59680E-03 -0.41610E-03 -0.75817E-12  0.11610E-11  0.79316E-12  0.39311E-03 -0.95295E-04 -0.83569E-04 -0.47647E-11  0.90907E-11 -0.79572E-14   0.10000E-02  0.14443E-11  0.26114E-11  0.00000E+00 -0.58967E-03 -0.10466E-13  0.00000E+00  0.00000E+00 -0.40960E-03  0.20000E+00  0.55902E+02  0.55902E+02
  0.17167E-02  0.16776E+03  0.22000E-02 -0.10961E-02 -0.85412E-03 -0.86546E-12  0.14208E-11  0.87639E-12   0.16776E+03  0.28422E-11  0.13429E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.98745E-03 -0.30496E-03 -0.26256E-03 -0.32499E-12  0.21815E-12 -0.59975E-13  0.12125E-02 -0.71462E-03 -0.49792E-03 -0.75721E-12  0.14202E-11  0.93636E-12  0.39623E-03 -0.97199E-04 -0.84788E-04 -0.47659E-11  0.90808E-11 -0.96134E-14   0.10000E-02  0.14195E-11  0.25588E-11  0.00000E+00 -0.58983E-03  0.18207E-13  0.00000E+00  0.00000E+00 -0.40966E-03  0.20000E+00  0.55919E+02  0.55920E+02
