e^ff,EXP Xray - EVPSC SF - w/o E0,EXP Xray - EVPSC SF - w EVPSC E0,EXP Xray - EXP SF - EXP E0,EVPSC SF w EXP E0,EVPSC's SF w exp. Eps0 sig_yy,EVPSC's SF w EVPSC eps0
0.00011,17.225,4.125,40.5,33.15,33.34,48.76
0.00924,217.14,199.73,230.625,235.35,223.65,250.765
0.01757,216.69,194.085,232.38,238.26,227.72,254.215
0.02579,231.4,203.44,251.225,260.95,243.6,273.815
0.0342,228.05,195.1,256.165,258.65,244.36,273.36
0.04257,240.515,201.95,271.715,265.23,269.69,290.34
0.05118,237.815,193.955,277.615,267.55,269.98,291.755
0.06006,243.535,194.655,291.55,280.03,276.49,299.54
0.0687,253.145,198.195,306.28,283.01,301.02,315.33
0.07749,250.425,190.485,312.57,285.38,301.85,314.925
0.08638,253.465,187.185,323.79,298.63,302.85,323.12
0.10023,253.09,177.43,334.075,293.85,320.79,330.715
0.10476,245.835,167.55,333.61,302.73,301.65,323.655
0.11364,248.825,164.455,344.16,308.47,310.69,331.615
0.12234,258.075,167.2,359.46,314.95,331.74,346.575
0.13132,262.445,165.16,370.195,313.74,350.58,356.695
0.29969,289.52,63.045,431.075,357.36,393.4,495.765
0.49187,299.895,-88.185,494.24,354.96,349.67,693.455
0.70286,266.35,-257.025,394.315,339.1,337.99,899.83
0.93839,211.755,-344.05,371.47,322.89,331.44,1055.695
